,Unnamed: 0,제목,작성 날짜,활동처명,활동내용,활동 지역,활동 기간,모집 시작일,모집 마감일,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회
120,125, 뚝섬 아름다운나눔장터 정기자원활동가 모집(~8/8),20180730,아름다운가게,"나눔캠페인:어린이,환경,나눔등다양한캠페인진행인터넷예약확인처:참가자접수확인및안내등운영사무소:방송,운영지원및안내등행사장관리:행사장내질서유지및안내등출입구관리:출입구안전관리및안내등기증처:기증물품수령및안내등","뚝섬유원지역2, 3번출구앞광장"," 활동가 OT : 2018년 8월 11일(토) 13:00 ~ 16:30* 활동 후 봉사시간 인정* 아름다운가게 서울사무실 1층 대회의실 (서울특별시 회현2가 34)* 4호선 명동역 4번출구 5~10분거리현장활동 : 2018년 8월 25일(토) ~ 10월 28일(일) 09:00 ~ 17:00 (점심/간식 제공)* 가능한 일자에 활동(3회 이상 활동)* 뚝섬유원지역 2, 3번 출구 앞 광장* 야외행사로 진행되어 기상상황에 따라 변경 및 취소될 수도 있습니다. 문화실행위 : 8월 29일(수) 19시~21시 / 영화관 예정 (무료) 수료식 : 11월 10일(토) 11시 ~ 16시",20180730.0,20180808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
121,126," 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180730,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수","수유 지부, 홍대(망원) 지부, 건대 지부",1년,20180716.0,20180810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,127, [가락종합사회복지관] 2018'더위사냥 물총축제' 자원봉사자 모집(~8/6),20180730,가락종합사회복지관,'더위사냥 물총축제'부스운영 및 진행요원 자원봉사자 모집8/8(수) 하루!!!,송파구 장지동 파인타운아파트 9단지 마을문고,8/8(수) 11:0017:00 (봉사시간 총 6시간),20180730.0,20180806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
123,128, 2018 레지스탕스영화제에서 함께할 자원활동가를 모집합니다.( ~08/15),20180730,2018 레지스탕스영화제 자원활동가,"영화제 기간동안 행사공간(서울극장) 내에서 개막식 지원, 부대행사 운영, 상영관 운영, 관객응대, 게스트 수행 등 영화제 전반적 업무를 함께합니다.",종로3가 서울극장, 자원활동가 합격자 전체교육 및 발대식  2018. 08. 20(월)(*전체교육 불참 시 합격에서 제외됩니다.) 영화제 공식활동  2018. 9. 6.(목) ~ 9. 10.(수) / 5일 간(*공식활동 기간 전 사전활동이 발생할 수 있습니다.),20180730.0,20180815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
124,129, 제10회 DMZ국제다큐영화제 자원활동가 大모집!!(8월14일까지),20180729,DMZ국제다큐영화제,영화제 현장 및 사무국에서 영화제 기간 동안 영화제의 운영과 기획을 지원할 자원활동가 여러분들을 모집합니다 :),"메가박스 백석, 롯데시네마 파주 롯데 아울렛, 영화제 사무국(고양터미널 4층) 등 영화제 행사장 일대",9월 13일부터 9월 20일까지,20180729.0,20180814,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,130, [빛길봉사단] 빛길봉사단 8월 신입회원 모집(~8.31),20180729,빛길봉사단,독거노인 지원 및 기타 봉사활동,"정기 봉사처 : 종로구 창신동, 강동구 암사동, 은평구 불광동기타 모임장소 : 서울/경기지역 어디나",참여 가능한 시간 언제나,20180729.0,20180831,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
126,131, [아대만]아름다운 대한민국 만들기 '아대만'에서 4-2기 신입회원을 모집합니다. (~7/31),20180728,'아대만' 아름다운 대한민국 만들기,"저희 아대만은 매월 1회 기획활동, 1회 정기 봉사활동을 진행합니다. 기획활동으로올해는 태극기알리기, 부산종주  Walking for love, 느린편지 받기, 수녀원아이들 교육, 체육 봉사등 다양한 활동을 했습니다. 올해부터는 부산 용호종합사회복지단에서 월 1회 무료급식 봉사를 진행하고 있으며, 기획활동도 행복상점(팝업스토어 개장 및 판매), 플리마켓 바자회, 유니브엑스포 참여 등 다양한 활동은 물론이고 활동을 직접 기획할 수 있는 기회도 주어집니다. 자세한 내용은 포스터를 참고해주세요!",부산,아대만과 함께할 의지만 있다면 기간의 끝은 없습니다.,20180728.0,20180731,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,132," [우리봉사단] 18.8.5(일) 대구 ""한여름 어울림 봉사"" 봉사자모집 (~07/31)",20180728,우리봉사단,다문화가정 아이들과 함께하는 즐거운 놀이 및 프로그램 활동^^,대구광역시,>18.8.5(일요일),20180728.0,20180731,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
128,133, [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180728,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180728.0,20180731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,134, [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 11기 회원 모집(~8/8),20180727,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능),20180727.0,20180808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
